CDRCode,statute,CDRDescription,classification,class,CDRStatus,RangeOfPunishment,max_time_days,min_time_days,conjunct,max_fine,min_fine,mandatory_incarceration,mandatory_fine,drug_type,drug_crime_category,other_punish,statutory_requires_gps,statutory_most_serious,statutory_nonviolent,statutory_serious,statutory_violent,statutory_unlisted
23,44-53-0395,"DRUGS / UNLAWFUL PRESCRIPTION DRUGS, BLANK PRESCRIPTION -  2ND OR SUB. OFFENSE",F,F,Active,NMT 5 YEARS,1825,0,NONE,0,0,FALSE,FALSE,PRESCRIPTION,DRUG-OTHER,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
25,00-00-0000,ROBBERY / ATTEMPTED ROBBERY (CHARGE AS PRINCIPAL OFFENSE),F,U,Active,USE PRINCIPLE OFFENSE CDR CODE,,,NONE,,,FALSE,FALSE,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
26,16-11-0330(B),"ROBBERY / ATTEMPTED ARMED, OR ALLEGEDLY ARMED, ROBBERY",F,C,Active,NMT 20 YEARS,7300,0,NONE,0,0,FALSE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,44-53-0420,"DRUGS / ATTEMPT AND CONSPIRACY, GENERAL PROVISIONS OF THE DRUG LAWS (HALF THE PENALTY OF SUBSTANTIVE OFFENSE)",U,U,Active,1/2 THE PUNISHMENT FOR THE SUBSTANTIVE OFFENSE,,,NONE,,,FALSE,FALSE,OTHER,DRUG-OTHER,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
28,16-03-0410,"FIGHT / DUEL, SENDING OR ACCEPTING CHALLENGE TO FIGHT WITH A DEADLY WEAPON",M,B,Active,NMT 2 YEARS,730,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
29,16-13-0400,UTILITIES / AVOIDING OR ATTEMPTING TO AVOID PAYMENT FOR TELECOMMUNICATIONS,M,C,Active,NMT 1 YEAR &/OR NMT $1000,365,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
30,16-17-0640,BLACKMAIL / BLACKMAIL OR EXTORTION,F,E,Active,"NMT 10 YEARS &/OR NMT $5,000",3650,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
31,16-15-0010,BIGAMY / BIGAMY,F,F,Active,(1) <= 5 YEARS OR (2) 6 MONTHS & $500,1825,0,OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
36,17-25-0020,MAYHEM / MAYHEM,F,U,Active,3 MONTHS TO 10 YEARS,3650,90,NONE,0,0,TRUE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
37,58-17-4090,"RAILROAD / PENALTY FOR OBSTRUCTION OF RAILROAD, NO DEATH RESULTS",F,A,Active,NMT 30 YEARS & FINE (AMOUNT DISCRETION CRT),10950,0,AND,450000,0,FALSE,FALSE,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
38,16-15-0120,BUGGERY / BUGGERY,F,F,Active,5 YEARS &/OR NLT $500,1825,0,AND/OR,1500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
40,23-29-0010,SUBVERSIVE / PENALTIES FOR VIOLATIONS OF SUBVERSIVE ACTIVITIES REGISTRATION ACT,F,E,Active,SEE STATUTE,,,,,,FALSE,FALSE,,,SEE STATUTE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
41,16-14-0040,FINANTC / FINANCIAL TRANSACTION CARD FORGERY,F,F,Active,"NMT 5 YEARS &/OR $3,000-5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
43,16-23-0460,"WEAPONS / CARRY CONCEALED WEAPON, NOT A PISTOL, E.G. DIRK, METAL KNUCKLES, ETC. (SEE 0044 IF PISTOL)",M,U,Active,30 DAYS - 90 DAYS OR $200 - $500,90,0,OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
44,16-23-0020,WEAPONS / UNLAWFUL CARRYING OF PISTOL,M,C,Active,NMT 1 YEAR &/OR NMT $1000,365,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
47,25-07-0060,SPYING / CONSPIRACY TO VIOLATE CERTAIN OTHER PROVISIONS OF CHAPTER ON TREASON OR SABOTAGE DURING WAR,M,B,Active,"NMT 2 YEARS &/OR NMT $10,000",730,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
48,16-17-0490,MINOR / CONTRIBUTING TO THE DELINQUENCY OF A MINOR,M,A,Active,"NMT 3 YEARS &/OR NMT $3,000",1095,0,AND/OR,3000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
49,16-17-0410,"CONSPIRACY / CRIMINAL CONSPIRACY, COMMON LAW CONSPIRACY DEFINED",F,F,Active,"NMT 5 YEARS OR NMT $5,000",1825,0,OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
51,04-17-0070,"MALICIOUS / MALICIOUS INJURY, WILLFUL INJURY TO COURTHOUSE OR JAIL",M,A,Active,NMT 3 YEARS OR DISCRETIONARY FINE,1095,0,OR,45000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
52,16-23-0440(A),WEAPONS / DISCHARGING FIREARMS INTO A DWELLING,F,E,Active,"NMT 10 YEARS &/OR NMT $1,000",3650,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
53,00-00-0000,TREASON / TREASON,F,E,Active,3 MONTHS - 10 YEARS,3650,90,NONE,0,0,TRUE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
55,16-03-0050,"MANSLAUGHTER / TRAFFIC RELATED ONLY, VOLUNTARY MANSLAUGHTER",F,A,Active,NMT 30 YEARS,10950,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
56,16-03-0060,"MANSLAUGHTER / TRAFFIC RELATED ONLY, INVOLUNTARY MANSLAUGHTER",F,F,Active,5 YEARS,1825,1825,NONE,0,0,TRUE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
57,56-01-1100,"TRAFFIC / HABITUAL TRAFFIC OFFENDERS, DUS AS PER HABITUAL TRAFFIC OFFENDER STATUS",F,F,Active,NMT 5 YEARS,1825,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
65,56-05-0750(B)(1),"TRAFFIC / FAILURE TO STOP FOR A BLUE LIGHT, NO INJURY OR DEATH - 1ST OFFENSE",M,A,Active,NMT 3 YEARS OR NLT $500,1095,0,OR,1500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
74,24-03-0950,"PRISONERS / CONTRABAND, POSSESSION BY PRISONER, FURNISHING OR ATTEMPT TO FURNISH PRISONER WITH",F,E,Active,"NMT 10 YEARS &/OR $1,000-10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
75,16-19-0130,"GAMBLING / BETTING, POOL SELLING, BOOKMAKING AND THE LIKE ARE PROHIBITED",M,U,Active,"NMT 6 MONTHS &/OR NMT $1,000",180,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
76,16-11-0190,"ARSON / ATTEMPTS TO BURN, WILLFUL AND MALICIOUS",F,F,Active,"NMT 5 YEARS OR NMT $10,000",1825,0,OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
78,63-05-0080,"CHILDREN/ CRUELTY TO CHILDREN (TORTURE, DEPRIVATION)",M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
79,16-11-0311,"BURGLARY / BURGLARY (AFTER JUNE 20, 1985) - FIRST DEGREE",F,EX,Active,NLT 15 YEARS TO LIFE,36500,5475,NONE,0,0,TRUE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
80,16-11-0312(C)(1),BURGLARY / BURGLARY (NON-VIOLENT) - SECOND DEGREE,F,E,Active,NMT 10 YEARS,3650,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
86,16-11-0312(B),BURGLARY / BURGLARY (VIOLENT) (AFTER 06/20/85) - SECOND DEGREE,F,D,Active,NMT 15 YEARS,5475,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
88,16-17-0720,IMPERSONATING / IMPERSONATING LAW ENFORCEMENT OFFICER,M,C,Active,NMT 1 YEAR OR NMT $500,365,0,OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
89,16-03-0075,"FOOD / UNLAWFUL, MALICIOUS TAMPERING WITH HUMAN DRUG PRODUCT OR FOOD",F,C,Active,NMT 20 YEARS,7300,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
90,16-15-0020,SEX / INCEST,F,X,Active,1 YEAR TO 10 YEARS &/OR NLT $500,3650,0,AND/OR,1500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
91,16-15-0130,SEX / INDECENT EXPOSURE,M,A,Active,NMT 3 YEARS &/OR DISCRETIONARY FINE,1095,0,AND/OR,45000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
93,56-01-0020,TRAFFIC / DRIVING WITHOUT A LICENSE - 2ND OFFENSE,M,U,Active,45 DAYS &/OR $500,45,0,AND/OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
94,56-01-0020,TRAFFIC / DRIVING WITHOUT A LICENSE - 3RD OR SUB. OFFENSE,M,U,Active,45 DAYS TO 6 MONTHS,180,45,NONE,0,0,TRUE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
95,16-03-0910,KIDNAPPING / KIDNAPPING,F,A,Active,NMT 30 YEARS,10950,0,NONE,0,0,FALSE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
96,16-08-0020(A),"FIREARMS / CIVIL DISORDER, TEACHING OR DEMONSTRATING USE OF FIREARMS OR EXPLOSIVES   - 1ST OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
97,16-08-0020,"FIREARMS / CIVIL DISORDER, TEACHING OR DEMONSTRATING USE OF FIREARMS OR EXPLOSIVES - 2ND OR SUB. OFFENSE",F,E,Active,"NMT 10 YEARS &/OR NMT $10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
105,16-19-0010,"GAMBLING / LOTTERIES, SETTING UP LOTTERIES",M,C,Active,"NMT 1 YEAR & $1,000",365,0,AND,1000,1000,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
106,15-43-0010,NUISANCE / USE OF BUILDING FOR LEWDNESS AND THE LIKE DECLARED MAINTAINING A NUISANCE,M,U,Active,"3 MONTHS - 6 MONTHS OR $200 - $1,000",180,0,OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
107,44-53-0445(A),"DRUGS / DISTRIBUTE, SELL, MANUF. OR PWID, OF CONT. SUB., NEAR SCHOOL",F,E,Active,"NMT 10 YEARS &/OR NMT $10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,OTHER,DRUGS-MDP,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
111,16-11-0740,"UTILITIES / MALICIOUS INJURY TO TELEPHONE, TELEGRAPH, OR ELECTRIC UTILITY SYSTEM",F,E,Active,NMT 10 YEARS OR DISCRETIONARY FINE,3650,0,OR,150000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
115,08-01-0080,"PUBLIC / PUBLIC OFFICIAL, MISCONDUCT IN OFFICE",M,C,Active,"NMT 1 YEAR & NMT $1,000",365,0,AND,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
116,16-03-0010,MURDER / MURDER,F,EX,Active,"DEATH, LIFE, OR NLT 30 YEARS TO LIFE",365000,10950,NONE,0,0,TRUE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
118,17-25-0030,OBSTRUCTING / OBSTRUCTING JUSTICE,M,U,Active,NMT 10 YEARS &/OR DISCRETIONARY FINE,3650,0,AND/OR,150000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
120,16-17-0470(A),"SEX / PEEPING TOM, EAVESDROPPING OR PEEPING",M,A,Active,NMT 3 YEARS &/OR NMT $500,1095,0,AND/OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
122,16-23-0410,WEAPONS / POINTING AND PRESENTING FIREARMS AT A PERSON,F,F,Active,NMT 5 YEARS OR DISCRETIONARY FINE,1825,0,OR,75000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
123,48-01-0010,"POLLUTION / POLLUTION VIOLATION, POLLUTION CONTROL ACT",M,B,Active,"NMT 2 YEARS &/OR $500 - $25,000 PER DAY OF VIOLATION",730,0,AND/OR,250000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
124,16-11-0020,"TOOLS / POSSESSION, MAKING IMPLEMENTS CAPABLE OF BEING USED IN CRIME",F,F,Active,NMT 5 YEARS &/OR DISCRETIONARY FINE,1825,0,AND/OR,75000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
129,16-13-0150,"LARCENY / PURSE SNATCHING. NOT GRAND LARCENY, ROBBERY OR PRIVILY STEALING",M,A,Active,NMT 3 YEARS,1095,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
130,56-05-1590,TRAFFIC / RACING ON A PUBLIC ROAD,M,U,Active,2 MONTHS TO 6 MONTHS &/OR $200-600,180,0,AND/OR,600,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
131,56-05-1600,TRAFFIC / ACQUIESCING IN OR ALLOWING USE OF CAR FOR RACING,M,U,Active,NMT 30 DAYS &/OR NMT $100,30,0,AND/OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
136,16-11-0350,ROBBERY / TRAIN ROBBERY BY STOPPING TRAIN,F,C,Active,NMT 20 YEARS,7300,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
137,16-11-0325,"ROBBERY / COMMON LAW ROBBERY, STRONG ARM ROBBERY",F,D,Active,NMT 15 YEARS,5475,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
138,17-25-0020,ROBBERY / HIGHWAY ROBBERY,F,U,Active,3 MONTHS TO 10 YEARS,3650,90,NONE,0,0,TRUE,FALSE,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
139,16-11-0330(A),"ROBBERY / ARMED ROBBERY, ROBBERY WHILE ARMED OR ALLEGEDLY ARMED WITH A DEADLY WEAPON",F,A,Active,10-30 YEARS,10950,3650,NONE,0,0,TRUE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
140,16-11-0360,ROBBERY / ROBBERY AFTER ENTRY UPON TRAIN,F,C,Active,NMT 20 YEARS,7300,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
141,16-11-0390,BURGLARY / SAFECRACKING,F,A,Active,NMT 30 YEARS,10950,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
142,53-001-0060,"SUNDAY / BLUE LAWS VIOLATION, SALE OF PROHIBITED ITEM ON SUNDAY",U,U,Active,NMT 10 YEARS &/OR DISCRETIONARY FINE,3650,0,AND/OR,150000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
143,12-21-6000(A),TAX / DEALER POSSESSING CONTROLLED SUBSTANCE WITHOUT TAX STAMP,M,X,Active,"NMT 5 YEARS &/OR NMT $10,000",1825,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
144,16-15-0250,"OBSCENE / COMMUNICATING OBSCENE MESSAGES TO ANOTHER PERSON, NON-TELEPHONIC",M,A,Active,NMT 3 YEARS &/OR DISCRETIONARY FINE,1095,0,AND/OR,45000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
145,44-53-0370(e)(1)(a)3,"DRUGS / TRAFFICKING IN MARIJUANA, 10 LBS OR MORE, BUT LESS THAN 100 LBS - 3RD OR SUB. OFFENSE",F,B,Active,"25 YEARS & $25,000",9125,9125,AND,25000,25000,TRUE,TRUE,MJ,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
146,16-07-0150,SLANDER / SLANDER AND LIBEL,M,C,Active,"NMT 1 YEAR &/OR NMT $5,000",365,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
147,44-53-0370(e)(2)(a)3,"DRUGS / TRAFFICKING IN COCAINE, 10G OR MORE, BUT LESS THAN 28G - 3RD OR SUB. OFFENSE",F,X,Active,"25-30 YEARS & $50,000",10950,9125,AND,50000,50000,TRUE,TRUE,COCAINE,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
148,44-53-0370(e)(2)(b)3,"DRUGS / TRAFFICKING IN COCAINE, 28 G OR MORE, BUT LESS THAN 100 G - 3RD OR SUB. OFFENSE",F,X,Active,"25-30 YEARS & $50,000",10950,9125,AND,50000,50000,TRUE,TRUE,COCAINE,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
149,44-53-0370(e)(3)(c),"DRUGS / TRAFFICKING IN HEROIN, MORPHINE, ETC., 28 G OR MORE",F,X,Active,"25-40 YEARS & $200,000",14600,9125,AND,200000,200000,TRUE,TRUE,HEROIN,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
150,16-13-0320,SWINDLING / SWINDLING,M,U,Active,NMT 6 MONTHS UNLESS FINE IS PAID BEFORE SENTENCE COMPLETED OR DISCRETIONARY FINE,180,0,OR,7500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
156,44-53-0370(e)(3)(a)2,"DRUGS / TRAFFICKING IN HEROIN, MORPH., ETC, 4 G OR MORE, BUT LESS THAN 14 G - 2ND OR SUB. OFFENSE",F,X,Active,"25 YEARS & $100,000",9125,9125,AND,100000,100000,TRUE,TRUE,HEROIN,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
158,44-53-0370(e)(4)(a)2,"DRUGS / TRAFFICKING IN METHAQUALONE, 15 G OR MORE, BUT LESS THAN 150 G - 2ND OR SUB.",F,X,Active,"25 YEARS & $25,000",9125,9125,AND,25000,25000,TRUE,TRUE,METHAQUALONE,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
160,16-03-0652,SEX / CRIMINAL SEXUAL CONDUCT - FIRST DEGREE,F,A,Active,NMT 30 YEARS,10950,0,NONE,0,0,FALSE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
161,16-03-0653,SEX / CRIMINAL SEXUAL CONDUCT - SECOND DEGREE,F,C,Active,NMT 20 YEARS,7300,0,NONE,0,0,FALSE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
162,16-03-0654,SEX / CRIMINAL SEXUAL CONDUCT - THIRD DEGREE,F,E,Active,NMT 10 YEARS,3650,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
171,16-13-0170,HOUSEBREAKING / ENTERING OR ATTEMPT TO ENTER HOUSE OR VESSEL WITHOUT BREAKING WITH INTENT TO STEAL,F,E,Active,NMT 10 YEARS &/OR DISCRETIONARY FINE,3650,0,AND/OR,150000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
172,63-07-0310,CHILDREN / FAILING TO REPORT CHILD ABUSE OR NEGLECT,M,U,Active,NMT 6 MONTHS AND/OR NMT $500,180,0,AND/OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
173,14-05-0320,CONTEMPT / CONTEMPT OF CIRCUIT COURT,M,U,Active,NMT 10 YEARS OR DISCRETIONARY FINE,3650,0,OR,150000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
174,56-01-0460(A)(1)(b),"DUS / DRIVING UNDER SUSPENSION, LICENSE NOT SUSPENDED FOR DUI - 2ND OFFENSE",M,U,Active,NMT 60 DAYS &/OR $600,60,0,AND/OR,600,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
175,56-01-0460(A)(1)(c),"DUS / DRIVING UNDER SUSPENSION, LICENSE NOT SUSPENDED FOR DUI - 3RD OR SUB. OFFENSE",M,U,Active,"NMT 90 DAYS & $1,000",90,0,AND,1000,1000,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
176,44-53-0370(c),"DRUGS / POSS. OF NARC. IN SCHEDULE I(B),(C), LSD & SCHEDULE II - 1ST OFFENSE",M,B,Active,"NMT 2 YEARS &/OR NMT $5,000",730,0,AND/OR,5000,0,FALSE,FALSE,"SCHED I(B&C), II, OR LSD",DRUGS-POSS,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
177,44-53-0370(c),"DRUGS / POSS. OF NARC. IN SCHEDULE I(B),(C), LSD & SCHEDULE II - 2ND OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,"SCHED I(B&C), II, OR LSD",DRUGS-POSS,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
178,44-53-0370(c),"DRUGS / POSS. OF NARC. IN SCHEDULE I(B),(C), LSD & SCHEDULE II - 3RD OR SUB. OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $10,000",1825,0,AND/OR,10000,0,FALSE,FALSE,"SCHED I(B&C), II, OR LSD",DRUGS-POSS,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
179,44-53-0370(d)(2),DRUGS / POSS. OF OTHER CONTROLLED SUB. IN SCHED. I  TO V - 1ST OFFENSE,M,U,Active,"NMT 6 MONTHS &/OR NMT $1,000",180,0,AND/OR,1000,0,FALSE,FALSE,SCHED I-V,DRUGS-POSS,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
180,44-53-0370(d)(2),DRUGS / POSS. OF OTHER CONTROLLED SUB. IN SCHED. I  TO V - 2ND OR SUB. OFFENSE,M,C,Active,NMT 1 YEAR &/OR NMT $2000,365,0,AND/OR,2000,0,FALSE,FALSE,SCHED I-V,DRUGS-POSS,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
182,44-53-0370(d)(4),DRUGS / POSS. OF 28G (1 OZ) OR LESS OF MARIJUANA OR 10G - 2ND OR SUB. OFFENSE,M,C,Active,"NMT 1 YEAR &/OR $200 - $1,000",365,0,AND/OR,1000,0,FALSE,FALSE,MJ,DRUGS-POSS,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
183,44-53-0370(b)(1),"DRUGS / MDP, NARCOTIC DRUGS IN SCH. I(B) & (C), LSD, AND SCHED. II",F,D,Active,"NMT 15 YEARS &/OR NMT $25,000",5475,0,AND/OR,25000,0,FALSE,FALSE,"SCHED I(B&C), II, OR LSD",DRUGS-MDP,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
